EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000610113,0,1,INITIAL_BUFFERING,Writing,45226
0.005038023,0,1,PLAY,InitialBuffering-Play,0
0.006456137,0,0,PLAY,StillPlaying,45226
0.360049963,0,1,PLAY,Writing,88783
0.930691004,0,2,PLAY,Writing,128503
1.778177977,1,3,PLAY,Writing,177437
2.770239115,2,4,PLAY,Writing,217761
3.971832037,3,5,PLAY,Writing,255865
4.009916067,4,4,PLAY,StillPlaying,88783
4.853824139,4,5,PLAY,Writing,323047
6.890949965,6,6,PLAY,Writing,378355
8.009761095,8,5,PLAY,StillPlaying,128503
9.306244135,9,6,PLAY,Writing,509091
11.90738916,11,7,PLAY,Writing,577751
12.00959897,12,6,PLAY,StillPlaying,177437
15.46161509,15,7,PLAY,Writing,782553
16.01001,16,6,PLAY,StillPlaying,217761
20.009727,20,5,PLAY,StillPlaying,255865
20.32885003,20,6,PLAY,Writing,1008699
24.00999212,24,5,PLAY,StillPlaying,323047
24.06198215,24,6,PLAY,Writing,782553
28.01001501,28,5,PLAY,StillPlaying,378355
28.88707399,28,6,PLAY,Writing,1008699
32.00999117,32,5,PLAY,StillPlaying,509091
32.52406001,32,6,PLAY,Writing,782553
35.14724517,35,7,PLAY,Writing,1008699
36.00984907,36,6,PLAY,StillPlaying,577751
38.05471516,38,7,PLAY,Writing,782553
40.009727,40,6,PLAY,StillPlaying,782553
42.73495603,42,7,PLAY,Writing,1008699
44.00972915,44,6,PLAY,StillPlaying,1008699
45.86732197,45,7,PLAY,Writing,782553
48.01012802,48,6,PLAY,StillPlaying,782553
49.93968201,49,7,PLAY,Writing,1008699
52.00972509,52,6,PLAY,StillPlaying,1008699
53.80079007,53,7,PLAY,Writing,782553
56.00972509,56,6,PLAY,StillPlaying,782553
58.52633309,58,7,PLAY,Writing,1008699
60.01007509,60,6,PLAY,StillPlaying,1008699
61.36623001,61,7,PLAY,Writing,782553
64.010077,64,6,PLAY,StillPlaying,782553
64.53357697,64,7,PLAY,Writing,1008699
67.13450599,67,8,PLAY,Writing,782553
68.02471614,68,7,PLAY,StillPlaying,1008699
70.07357097,70,8,PLAY,Writing,1008699
72.00972104,72,7,PLAY,StillPlaying,782553
73.18397498,73,8,PLAY,Writing,782553
76.00973105,76,7,PLAY,StillPlaying,1008699
77.28006697,77,8,PLAY,Writing,1008699
80.00985599,80,7,PLAY,StillPlaying,782553
80.27688718,80,8,PLAY,Writing,782553
84.01006007,84,7,PLAY,StillPlaying,1008699
84.88144398,84,8,PLAY,Writing,1008699
88.01000214,88,7,PLAY,StillPlaying,782553
88.36645818,88,8,PLAY,Writing,782553
92.00975013,92,7,PLAY,StillPlaying,1008699
93.17931414,93,8,PLAY,Writing,1008699
96.00972414,96,7,PLAY,StillPlaying,782553
96.34426904,96,8,PLAY,Writing,782553
100.0099931,100,7,PLAY,StillPlaying,1008699
101.0665741,101,8,PLAY,Writing,1008699
104.0100341,104,7,PLAY,StillPlaying,782553
104.6285241,104,8,PLAY,Writing,782553
108.0097351,108,7,PLAY,StillPlaying,1008699
109.4806151,109,8,PLAY,Writing,1008699
112.009727,112,7,PLAY,StillPlaying,782553
113.1413572,113,8,PLAY,Writing,782553
116.0097182,116,7,PLAY,StillPlaying,1008699
117.5042322,117,8,PLAY,Writing,1008699
120.010062,120,7,PLAY,StillPlaying,782553
120.669806,120,8,PLAY,Writing,782553
124.0097201,124,7,PLAY,StillPlaying,1008699
125.1428611,125,8,PLAY,Writing,1008699
128.0099301,128,7,PLAY,StillPlaying,782553
128.241097,128,8,PLAY,Writing,782553
132.010066,132,7,PLAY,StillPlaying,1008699
132.6220331,132,8,PLAY,Writing,1008699
135.746763,135,9,PLAY,Writing,782553
136.0097561,136,8,PLAY,StillPlaying,782553
139.2575831,139,9,PLAY,Writing,1008699
140.0099962,140,8,PLAY,StillPlaying,1008699
142.1275101,142,9,PLAY,Writing,782553
144.009732,144,8,PLAY,StillPlaying,782553
146.826947,146,9,PLAY,Writing,1008699
148.009726,148,8,PLAY,StillPlaying,1008699
150.3041441,150,9,PLAY,Writing,782553
152.0100131,152,8,PLAY,StillPlaying,782553
155.1617172,155,9,PLAY,Writing,1008699
156.009747,156,8,PLAY,StillPlaying,1008699
157.7868471,157,9,PLAY,Writing,782553
160.010067,160,8,PLAY,StillPlaying,782553
162.2438331,162,9,PLAY,Writing,1008699
164.0097311,164,8,PLAY,StillPlaying,1008699
164.911962,164,9,PLAY,Writing,782553
168.0097291,168,8,PLAY,StillPlaying,782553
168.9712641,168,9,PLAY,Writing,1008699
172.009727,172,8,PLAY,StillPlaying,1008699
172.0572891,172,9,PLAY,Writing,782553
176.010155,176,8,PLAY,StillPlaying,782553
176.904283,176,9,PLAY,Writing,1008699
180.010062,180,8,PLAY,StillPlaying,1008699
180.4396751,180,9,PLAY,Writing,782553
184.0097151,184,8,PLAY,StillPlaying,782553
184.9900751,184,9,PLAY,Writing,1008699
187.5744441,187,10,PLAY,Writing,782553
188.009665,188,9,PLAY,StillPlaying,1008699
191.166544,191,10,PLAY,Writing,1008699
192.0097132,192,9,PLAY,StillPlaying,782553
194.232625,194,10,PLAY,Writing,782553
196.0100651,196,9,PLAY,StillPlaying,1008699
198.0733681,198,10,PLAY,Writing,1008699
200.0097451,200,9,PLAY,StillPlaying,782553
201.5250812,201,10,PLAY,Writing,782553
204.0100601,204,9,PLAY,StillPlaying,1008699
205.788821,205,10,PLAY,Writing,1008699
208.0098801,208,9,PLAY,StillPlaying,782553
209.2132421,209,10,PLAY,Writing,782553
212.0097351,212,9,PLAY,StillPlaying,1008699
213.5847712,213,10,PLAY,Writing,1008699
216.0100021,216,9,PLAY,StillPlaying,782553
216.99512,216,10,PLAY,Writing,782553
220.0097311,220,9,PLAY,StillPlaying,1008699
220.8823471,220,10,PLAY,Writing,1008699
223.84747,223,11,PLAY,Writing,782553
224.0099151,224,10,PLAY,StillPlaying,782553
228.009989,228,9,PLAY,StillPlaying,1008699
232.0100532,232,8,PLAY,StillPlaying,782553
232.096679,232,9,PLAY,Writing,1008699
235.6989272,235,10,PLAY,Writing,782553
236.0102921,236,9,PLAY,StillPlaying,1008699
240.0097301,240,8,PLAY,StillPlaying,782553
240.449095,240,9,PLAY,Writing,1008699
243.8658662,243,10,PLAY,Writing,782553
244.0098572,244,9,PLAY,StillPlaying,1008699
248.009717,248,8,PLAY,StillPlaying,782553
248.4079561,248,9,PLAY,Writing,1008699
251.5805311,251,10,PLAY,Writing,782553
252.009995,252,9,PLAY,StillPlaying,1008699
255.1788812,255,10,PLAY,Writing,1008699
256.0097082,256,9,PLAY,StillPlaying,782553
258.6854022,258,10,PLAY,Writing,782553
260.0100091,260,9,PLAY,StillPlaying,1008699
262.493021,262,10,PLAY,Writing,1008699
264.009994,264,9,PLAY,StillPlaying,782553
265.154247,265,10,PLAY,Writing,782553
268.0097401,268,9,PLAY,StillPlaying,1008699
269.5356412,269,10,PLAY,Writing,1008699
272.0097442,272,9,PLAY,StillPlaying,782553
272.695663,272,10,PLAY,Writing,782553
276.009726,276,9,PLAY,StillPlaying,1008699
277.721626,277,10,PLAY,Writing,1008699
280.010004,280,9,PLAY,StillPlaying,782553
280.9396272,280,10,PLAY,Writing,782553
284.009732,284,9,PLAY,StillPlaying,1008699
285.2304931,285,10,PLAY,Writing,1008699
288.0097401,288,9,PLAY,StillPlaying,782553
288.636817,288,10,PLAY,Writing,782553
292.0097311,292,9,PLAY,StillPlaying,1008699
