EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000526189804077,0,1,INITIAL_BUFFERING,Writing,45226
0.00617003440857,0,1,PLAY,InitialBuffering-Play,0
0.00746607780457,0,0,PLAY,StillPlaying,45226
0.352056980133,0,1,PLAY,Writing,88783.0
0.921936035156,0,2,PLAY,Writing,128503.0
1.7713341713,1,3,PLAY,Writing,177437.0
2.81811118126,2,4,PLAY,Writing,217761.0
3.74216198921,3,5,PLAY,Writing,255865.0
4.00863599777,4,4,PLAY,StillPlaying,88783.0
4.63732218742,4,5,PLAY,Writing,323047.0
6.65196919441,6,6,PLAY,Writing,378355.0
8.00864601135,8,5,PLAY,StillPlaying,128503.0
9.06648206711,9,6,PLAY,Writing,509091.0
11.6910431385,11,7,PLAY,Writing,577751.0
12.0089190006,12,6,PLAY,StillPlaying,177437.0
15.2325341702,15,7,PLAY,Writing,782553.0
16.0086569786,16,6,PLAY,StillPlaying,217761.0
20.0086359978,20,5,PLAY,StillPlaying,255865.0
20.1129541397,20,6,PLAY,Writing,1008699.0
23.8211331367,23,7,PLAY,Writing,782553.0
24.0086190701,24,6,PLAY,StillPlaying,323047.0
28.0088121891,28,5,PLAY,StillPlaying,378355.0
28.6453909874,28,6,PLAY,Writing,1008699.0
32.0089540482,32,5,PLAY,StillPlaying,509091.0
32.284209013,32,6,PLAY,Writing,782553.0
34.9190280437,34,7,PLAY,Writing,1008699.0
36.0086290836,36,6,PLAY,StillPlaying,577751.0
37.8260171413,37,7,PLAY,Writing,782553.0
40.0086481571,40,6,PLAY,StillPlaying,782553.0
42.4483280182,42,7,PLAY,Writing,1008699.0
44.0086619854,44,6,PLAY,StillPlaying,1008699.0
45.5927121639,45,7,PLAY,Writing,782553.0
48.0086331367,48,6,PLAY,StillPlaying,782553.0
49.6382751465,49,7,PLAY,Writing,1008699.0
52.0086541176,52,6,PLAY,StillPlaying,1008699.0
53.5225431919,53,7,PLAY,Writing,782553.0
56.0086591244,56,6,PLAY,StillPlaying,782553.0
58.2370882034,58,7,PLAY,Writing,1008699.0
60.0086450577,60,6,PLAY,StillPlaying,1008699.0
61.0780379772,61,7,PLAY,Writing,782553.0
64.0089211464,64,6,PLAY,StillPlaying,782553.0
64.2333540916,64,7,PLAY,Writing,1008699.0
66.857656002,66,8,PLAY,Writing,782553.0
68.0086770058,68,7,PLAY,StillPlaying,1008699.0
69.7956800461,69,8,PLAY,Writing,1008699.0
72.0086560249,72,7,PLAY,StillPlaying,782553.0
72.8063690662,72,8,PLAY,Writing,782553.0
76.008908987,76,7,PLAY,StillPlaying,1008699.0
76.8493621349,76,8,PLAY,Writing,1008699.0
79.8352720737,79,9,PLAY,Writing,782553.0
80.0085420609,80,8,PLAY,StillPlaying,782553.0
84.0086381435,84,7,PLAY,StillPlaying,1008699.0
84.4301400185,84,8,PLAY,Writing,1008699.0
87.9149720669,87,9,PLAY,Writing,782553.0
88.0085091591,88,8,PLAY,StillPlaying,782553.0
92.0086810589,92,7,PLAY,StillPlaying,1008699.0
92.731374979,92,8,PLAY,Writing,1008699.0
96.008934021,96,7,PLAY,StillPlaying,782553.0
100.00864315,100,6,PLAY,StillPlaying,1008699.0
104.00863409,104,5,PLAY,StillPlaying,782553.0
108.008935213,108,4,PLAY,StillPlaying,1008699.0
112.008679152,112,3,PLAY,StillPlaying,782553.0
115.201286077,115,4,PLAY,Writing,782553.0
116.008719206,116,3,PLAY,StillPlaying,1008699.0
120.008654118,120,2,PLAY,StillPlaying,782553.0
123.519427061,123,3,PLAY,Writing,378355.0
124.008706093,124,2,PLAY,StillPlaying,1008699.0
124.751042128,124,3,PLAY,Writing,255865.0
126.314047098,126,4,PLAY,Writing,323047.0
127.304503202,127,5,PLAY,Writing,217761.0
127.99398303,127,6,PLAY,Writing,177437.0
128.00851512,128,5,PLAY,StillPlaying,782553.0
128.728727102,128,6,PLAY,Writing,217761.0
129.887380123,129,7,PLAY,Writing,255865.0
130.767858028,130,8,PLAY,Writing,323047.0
132.008653164,132,7,PLAY,StillPlaying,378355.0
132.35337019,132,8,PLAY,Writing,378355.0
134.323963165,134,9,PLAY,Writing,509091.0
136.00863409,136,8,PLAY,StillPlaying,255865.0
136.317783117,136,9,PLAY,Writing,577751.0
139.188748121,139,10,PLAY,Writing,782553.0
140.008583069,140,9,PLAY,StillPlaying,323047.0
143.850027084,143,10,PLAY,Writing,1008699.0
144.009094,144,9,PLAY,StillPlaying,217761.0
147.351482153,147,10,PLAY,Writing,782553.0
148.008635998,148,9,PLAY,StillPlaying,177437.0
152.008630037,152,8,PLAY,StillPlaying,217761.0
152.197769165,152,9,PLAY,Writing,1008699.0
154.810191154,154,10,PLAY,Writing,782553.0
156.008630991,156,9,PLAY,StillPlaying,255865.0
159.279112101,159,10,PLAY,Writing,1008699.0
160.008633137,160,9,PLAY,StillPlaying,323047.0
161.959206104,161,10,PLAY,Writing,782553.0
164.00891614,164,9,PLAY,StillPlaying,378355.0
165.975150108,165,10,PLAY,Writing,1008699.0
168.008959055,168,9,PLAY,StillPlaying,509091.0
169.075270176,169,10,PLAY,Writing,782553.0
172.008912086,172,9,PLAY,StillPlaying,577751.0
173.881844044,173,10,PLAY,Writing,1008699.0
176.008646011,176,9,PLAY,StillPlaying,782553.0
177.431729078,177,10,PLAY,Writing,782553.0
180.00864315,180,9,PLAY,StillPlaying,1008699.0
181.970986128,181,10,PLAY,Writing,1008699.0
184.008691072,184,9,PLAY,StillPlaying,782553.0
184.554057121,184,10,PLAY,Writing,782553.0
188.008642197,188,9,PLAY,StillPlaying,1008699.0
188.145204067,188,10,PLAY,Writing,1008699.0
191.200412989,191,11,PLAY,Writing,782553.0
192.008656979,192,10,PLAY,StillPlaying,782553.0
196.00894618,196,9,PLAY,StillPlaying,1008699.0
199.027230024,199,10,PLAY,Writing,1008699.0
200.008953094,200,9,PLAY,StillPlaying,782553.0
202.477005005,202,10,PLAY,Writing,782553.0
204.008641005,204,9,PLAY,StillPlaying,1008699.0
206.741163015,206,10,PLAY,Writing,1008699.0
208.008742094,208,9,PLAY,StillPlaying,782553.0
210.166380167,210,10,PLAY,Writing,782553.0
212.008645058,212,9,PLAY,StillPlaying,1008699.0
214.519458055,214,10,PLAY,Writing,1008699.0
216.00863409,216,9,PLAY,StillPlaying,782553.0
217.929675102,217,10,PLAY,Writing,782553.0
220.008633137,220,9,PLAY,StillPlaying,1008699.0
221.809499025,221,10,PLAY,Writing,1008699.0
224.008649111,224,9,PLAY,StillPlaying,782553.0
224.773336172,224,10,PLAY,Writing,782553.0
228.008647203,228,9,PLAY,StillPlaying,1008699.0
229.00566721,228,10,PLAY,Writing,1008699.0
232.008648157,232,9,PLAY,StillPlaying,782553.0
232.6188972,232,10,PLAY,Writing,782553.0
236.008655071,236,9,PLAY,StillPlaying,1008699.0
237.363766193,237,10,PLAY,Writing,1008699.0
240.008970022,240,9,PLAY,StillPlaying,782553.0
240.78077507,240,10,PLAY,Writing,782553.0
