EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000568866729736,0,1,INITIAL_BUFFERING,Writing,45226
0.00542092323303,0,1,PLAY,InitialBuffering-Play,0
0.00664186477661,0,0,PLAY,StillPlaying,45226
0.398452043533,0,1,PLAY,Writing,88783.0
1.10100603104,1,2,PLAY,Writing,128503.0
2.14276504517,2,3,PLAY,Writing,177437.0
3.41412782669,3,4,PLAY,Writing,217761.0
4.00863099098,4,3,PLAY,StillPlaying,88783.0
4.54046082497,4,4,PLAY,Writing,255865.0
5.50709486008,5,5,PLAY,Writing,323047.0
7.73944091797,7,6,PLAY,Writing,378355.0
8.00857782364,8,5,PLAY,StillPlaying,128503.0
10.7569088936,10,6,PLAY,Writing,509091.0
12.0085868835,12,5,PLAY,StillPlaying,177437.0
13.9875049591,13,6,PLAY,Writing,577751.0
16.008630991,16,5,PLAY,StillPlaying,217761.0
18.3359639645,18,6,PLAY,Writing,782553.0
20.0086238384,20,5,PLAY,StillPlaying,255865.0
21.9747388363,21,6,PLAY,Writing,577751.0
24.0089609623,24,5,PLAY,StillPlaying,323047.0
27.9698610306,27,6,PLAY,Writing,782553.0
28.0085868835,28,5,PLAY,StillPlaying,378355.0
32.0086250305,32,4,PLAY,StillPlaying,509091.0
32.6298928261,32,5,PLAY,Writing,577751.0
36.00867486,36,4,PLAY,StillPlaying,577751.0
36.8881750107,36,5,PLAY,Writing,509091.0
39.2856009007,39,6,PLAY,Writing,577751.0
40.0087080002,40,5,PLAY,StillPlaying,782553.0
41.0831878185,41,6,PLAY,Writing,378355.0
43.4664349556,43,7,PLAY,Writing,509091.0
44.0086159706,44,6,PLAY,StillPlaying,577751.0
45.0117280483,45,7,PLAY,Writing,378355.0
47.2246589661,47,8,PLAY,Writing,509091.0
48.0086250305,48,7,PLAY,StillPlaying,782553.0
50.850466013,50,8,PLAY,Writing,577751.0
52.0086238384,52,7,PLAY,StillPlaying,577751.0
55.0242738724,55,8,PLAY,Writing,782553.0
56.0086138248,56,7,PLAY,StillPlaying,509091.0
56.760614872,56,8,PLAY,Writing,577751.0
60.008893013,60,7,PLAY,StillPlaying,577751.0
60.0255119801,60,8,PLAY,Writing,782553.0
61.9100739956,61,9,PLAY,Writing,577751.0
64.0088949203,64,8,PLAY,StillPlaying,378355.0
64.7178099155,64,9,PLAY,Writing,782553.0
67.4563379288,67,10,PLAY,Writing,577751.0
68.008617878,68,9,PLAY,StillPlaying,509091.0
70.9965920448,70,10,PLAY,Writing,782553.0
72.0086128712,72,9,PLAY,StillPlaying,378355.0
74.2927908897,74,10,PLAY,Writing,577751.0
76.0086269379,76,9,PLAY,StillPlaying,509091.0
78.0457618237,78,10,PLAY,Writing,782553.0
80.0086400509,80,9,PLAY,StillPlaying,577751.0
81.4360129833,81,10,PLAY,Writing,577751.0
84.0089859962,84,9,PLAY,StillPlaying,782553.0
85.7440028191,85,10,PLAY,Writing,782553.0
88.0086228848,88,9,PLAY,StillPlaying,577751.0
88.6506948471,88,10,PLAY,Writing,577751.0
92.0089628696,92,9,PLAY,StillPlaying,782553.0
93.1044800282,93,10,PLAY,Writing,782553.0
96.008649826,96,9,PLAY,StillPlaying,577751.0
97.0536849499,97,10,PLAY,Writing,577751.0
100.009249926,100,9,PLAY,StillPlaying,782553.0
103.006402969,102,10,PLAY,Writing,782553.0
104.008950949,104,9,PLAY,StillPlaying,577751.0
106.358494043,106,10,PLAY,Writing,577751.0
108.008910894,108,9,PLAY,StillPlaying,782553.0
110.302206039,110,10,PLAY,Writing,782553.0
112.008954048,112,9,PLAY,StillPlaying,577751.0
113.821760893,113,10,PLAY,Writing,577751.0
116.008633852,116,9,PLAY,StillPlaying,782553.0
117.947165966,117,10,PLAY,Writing,782553.0
119.712741852,119,11,PLAY,Writing,577751.0
120.008880854,120,10,PLAY,StillPlaying,577751.0
124.008944035,124,9,PLAY,StillPlaying,782553.0
127.422641039,127,10,PLAY,Writing,782553.0
128.008853912,128,9,PLAY,StillPlaying,577751.0
129.943766832,129,10,PLAY,Writing,577751.0
132.008616924,132,9,PLAY,StillPlaying,782553.0
133.426762819,133,10,PLAY,Writing,782553.0
135.750136852,135,11,PLAY,Writing,577751.0
136.008515835,136,10,PLAY,StillPlaying,577751.0
140.008942842,140,9,PLAY,StillPlaying,782553.0
143.07820487,143,10,PLAY,Writing,782553.0
144.008949995,144,9,PLAY,StillPlaying,577751.0
145.758913994,145,10,PLAY,Writing,577751.0
148.008957863,148,9,PLAY,StillPlaying,782553.0
149.825538874,149,10,PLAY,Writing,782553.0
151.704480886,151,11,PLAY,Writing,577751.0
152.008795023,152,10,PLAY,StillPlaying,577751.0
156.008646011,156,9,PLAY,StillPlaying,782553.0
159.18442297,159,10,PLAY,Writing,782553.0
160.008620024,160,9,PLAY,StillPlaying,577751.0
161.678457975,161,10,PLAY,Writing,577751.0
164.008625031,164,9,PLAY,StillPlaying,782553.0
165.353401899,165,10,PLAY,Writing,782553.0
167.463531971,167,11,PLAY,Writing,577751.0
168.008632898,168,10,PLAY,StillPlaying,577751.0
172.008597851,172,9,PLAY,StillPlaying,782553.0
175.230705976,175,10,PLAY,Writing,782553.0
176.008677959,176,9,PLAY,StillPlaying,577751.0
177.779956818,177,10,PLAY,Writing,577751.0
180.008843899,180,9,PLAY,StillPlaying,782553.0
181.382208824,181,10,PLAY,Writing,782553.0
183.026953936,183,11,PLAY,Writing,577751.0
184.008646965,184,10,PLAY,StillPlaying,577751.0
188.008667946,188,9,PLAY,StillPlaying,782553.0
189.129346848,189,10,PLAY,Writing,782553.0
191.863783836,191,11,PLAY,Writing,1008699.0
192.008513927,192,10,PLAY,StillPlaying,577751.0
196.009068966,196,9,PLAY,StillPlaying,782553.0
198.158676863,198,10,PLAY,Writing,782553.0
200.008944988,200,9,PLAY,StillPlaying,577751.0
204.008955002,204,8,PLAY,StillPlaying,782553.0
204.378445864,204,9,PLAY,Writing,1008699.0
208.008954048,208,8,PLAY,StillPlaying,577751.0
212.008635998,212,7,PLAY,StillPlaying,782553.0
216.008651972,216,6,PLAY,StillPlaying,577751.0
216.989596844,216,7,PLAY,Writing,782553.0
220.008632898,220,6,PLAY,StillPlaying,782553.0
221.820468903,221,7,PLAY,Writing,509091.0
224.00887394,224,6,PLAY,StillPlaying,577751.0
226.986404896,226,7,PLAY,Writing,378355.0
228.008714914,228,6,PLAY,StillPlaying,782553.0
232.008632898,232,5,PLAY,StillPlaying,1008699.0
233.238694906,233,6,PLAY,Writing,323047.0
236.008672953,236,5,PLAY,StillPlaying,782553.0
240.008633852,240,4,PLAY,StillPlaying,1008699.0
240.641753912,240,5,PLAY,Writing,255865.0
242.725620985,242,6,PLAY,Writing,217761.0
244.008635044,244,5,PLAY,StillPlaying,782553.0
244.948086023,244,6,PLAY,Writing,255865.0
248.008633852,248,5,PLAY,StillPlaying,509091.0
248.429213047,248,6,PLAY,Writing,177437.0
250.754039049,250,7,PLAY,Writing,217761.0
252.008922815,252,6,PLAY,StillPlaying,378355.0
253.225054026,253,7,PLAY,Writing,255865.0
256.008631945,256,6,PLAY,StillPlaying,323047.0
256.720674038,256,7,PLAY,Writing,323047.0
258.723894835,258,8,PLAY,Writing,255865.0
260.008635998,260,7,PLAY,StillPlaying,255865.0
260.470549822,260,8,PLAY,Writing,323047.0
264.008620977,264,7,PLAY,StillPlaying,217761.0
265.534972906,265,8,PLAY,Writing,378355.0
267.727603912,267,9,PLAY,Writing,323047.0
268.008533955,268,8,PLAY,StillPlaying,255865.0
