time,Download Rate,next_bitrate
2,16819.2641604,45226.0
2,136497.862653,88783.0
3,269457.344855,128503.0
3,359112.630756,177437.0
4,434503.355896,217761.0
5,507899.04769,255865.0
7,551633.527242,323047.0
9,600953.427814,378355.0
11,633962.878959,509091.0
14,662312.813264,509091.0
17,681901.245556,509091.0
20,698407.974267,577751.0
23,713076.380335,577751.0
27,724043.487768,577751.0
31,732776.188255,577751.0
32,756161.016993,577751.0
35,759117.081709,577751.0
38,761929.776525,577751.0
40,762806.249613,577751.0
43,763495.84123,577751.0
46,764469.467601,577751.0
50,764176.333005,577751.0
52,764647.529018,577751.0
54,766332.943217,577751.0
55,852255.668268,577751.0
61,835850.654551,577751.0
67,879495.573651,577751.0
70,856348.832111,577751.0
72,891077.423999,577751.0
79,865967.195079,577751.0
83,847179.951765,577751.0
86,832154.482621,577751.0
88,860387.717689,577751.0
96,842492.442009,577751.0
99,828463.073987,577751.0
103,815999.008887,577751.0
106,807235.133721,577751.0
108,838124.632916,577751.0
116,825607.253941,577751.0
119,813813.024197,577751.0
120,866601.897143,577751.0
127,848198.039056,577751.0
130,837208.884911,577751.0
132,866489.234924,577751.0
138,847612.295529,577751.0
142,831732.968711,577751.0
148,904607.587665,577751.0
151,877171.096926,577751.0
153,856851.950466,577751.0
159,938059.630804,577751.0
162,905072.812914,577751.0
167,982513.661114,782553.0
171,939395.559169,782553.0
176,905878.378909,577751.0
179,879418.979949,577751.0
182,856304.986175,577751.0
184,924382.935161,577751.0
190,893397.727406,577751.0
193,926594.982477,577751.0
199,893508.658504,577751.0
202,869941.423519,577751.0
204,906324.577626,577751.0
212,877245.173174,577751.0
215,855505.280265,577751.0
218,837216.687052,577751.0
220,898369.080131,577751.0
227,871778.379742,577751.0
229,921815.746621,577751.0
236,891490.145523,577751.0
240,867576.533243,577751.0
243,847751.750043,577751.0
246,830206.884163,577751.0
248,905418.165122,577751.0
254,877700.921742,577751.0
257,916116.746028,577751.0
264,885705.22413,577751.0
266,861853.550576,577751.0
270,843743.6298,577751.0
276,903256.54641,577751.0
279,877423.812651,577751.0
282,854710.062713,577751.0
285,836961.539508,577751.0
292,916616.195831,577751.0
295,886566.886194,577751.0
298,863762.089324,577751.0
300,878630.814362,577751.0
307,856381.670876,577751.0
311,839130.92794,577751.0
314,823908.882852,577751.0
318,813293.805852,577751.0
324,896725.314609,577751.0
327,871062.456869,577751.0
331,849702.35253,577751.0
334,832363.868673,577751.0
336,852148.165595,577751.0
343,834892.075926,577751.0
346,821415.357872,577751.0
351,862581.365967,577751.0
353,843540.314772,577751.0
359,914991.177496,577751.0
362,890680.56827,577751.0
367,981804.220503,782553.0
370,939802.322124,782553.0
374,904325.968243,577751.0
377,937570.579645,577751.0
384,904761.291657,577751.0
387,876103.37352,577751.0
391,854892.419706,577751.0
393,902768.936128,577751.0
400,875327.584881,577751.0
404,853622.007696,577751.0
406,836580.343431,577751.0
409,897640.20354,577751.0
415,870820.862741,577751.0
416,996695.27852,782553.0
425,953436.291594,782553.0
428,912413.32407,577751.0
432,882692.275243,577751.0
433,1005892.51719,782553.0
441,956043.214171,782553.0
445,945026.237718,782553.0
446,1063860.31949,782553.0
449,1121688.82741,782553.0
454,1203994.40167,782553.0
457,1184891.17425,782553.0
465,1127691.8044,782553.0
467,1208483.02344,782553.0
471,1163718.31651,782553.0
475,1084139.35663,782553.0
480,1019457.00435,782553.0
484,968312.085913,782553.0
489,928839.7874,577751.0
492,898016.015404,577751.0
495,873093.530472,577751.0
499,848440.386863,577751.0
502,832146.034132,577751.0
506,818652.044285,577751.0
509,807432.454728,577751.0
515,952973.125336,782553.0
519,937419.624613,577751.0
523,902400.862691,577751.0
526,873098.088035,577751.0
530,852138.503023,577751.0
533,835615.334604,577751.0
539,976910.157606,782553.0
542,957639.515938,782553.0
545,919630.63024,577751.0
550,1046550.91401,782553.0
558,1008641.57497,782553.0
560,1112985.64613,782553.0
