2022-05-02 18:01:45,197 - dash_client.py:506 - INFO - Downloading MPD file http://server/media/BigBuckBunny/4sec/BigBuckBunny_4s.mpd
2022-05-02 18:01:46,479 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 304787.538726, next_bitrate = 88783.0
2022-05-02 18:01:46,709 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 554811.494995, next_bitrate = 128503.0
2022-05-02 18:01:47,061 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 763428.85723, next_bitrate = 177437.0
2022-05-02 18:01:47,864 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 809191.836991, next_bitrate = 217761.0
2022-05-02 18:01:49,205 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 789455.349787, next_bitrate = 255865.0
2022-05-02 18:01:50,237 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 804581.93828, next_bitrate = 323047.0
2022-05-02 18:01:51,307 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 801913.547832, next_bitrate = 378355.0
2022-05-02 18:01:53,664 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 806039.560166, next_bitrate = 509091.0
2022-05-02 18:01:56,628 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 800882.39919, next_bitrate = 577751.0
2022-05-02 18:01:59,722 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 801916.896624, next_bitrate = 577751.0
2022-05-02 18:02:03,303 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 794690.808503, next_bitrate = 577751.0
2022-05-02 18:02:06,872 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 788472.566032, next_bitrate = 577751.0
2022-05-02 18:02:10,471 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 784223.037193, next_bitrate = 577751.0
2022-05-02 18:02:14,009 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 781995.706015, next_bitrate = 577751.0
2022-05-02 18:02:17,595 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 778909.180803, next_bitrate = 577751.0
2022-05-02 18:02:19,371 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 777118.961019, next_bitrate = 577751.0
2022-05-02 18:02:21,749 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 771925.242046, next_bitrate = 577751.0
2022-05-02 18:02:24,813 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 770420.951874, next_bitrate = 577751.0
2022-05-02 18:02:27,406 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 770635.219798, next_bitrate = 577751.0
2022-05-02 18:02:30,183 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 768856.024137, next_bitrate = 577751.0
2022-05-02 18:02:33,645 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 770291.760023, next_bitrate = 577751.0
2022-05-02 18:02:37,094 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 768597.647232, next_bitrate = 577751.0
2022-05-02 18:02:39,105 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 770770.727966, next_bitrate = 577751.0
2022-05-02 18:02:41,424 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 767029.812882, next_bitrate = 577751.0
2022-05-02 18:02:43,187 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 771373.148047, next_bitrate = 577751.0
2022-05-02 18:02:44,535 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 844621.71976, next_bitrate = 577751.0
2022-05-02 18:02:50,112 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 932113.548482, next_bitrate = 577751.0
2022-05-02 18:02:56,912 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 898837.575421, next_bitrate = 577751.0
2022-05-02 18:02:59,328 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 872488.924745, next_bitrate = 577751.0
2022-05-02 18:03:01,942 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 894423.429913, next_bitrate = 577751.0
2022-05-02 18:03:09,306 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 867973.089969, next_bitrate = 577751.0
2022-05-02 18:03:12,635 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 846466.559938, next_bitrate = 577751.0
2022-05-02 18:03:15,595 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 830978.298787, next_bitrate = 577751.0
2022-05-02 18:03:18,133 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 868196.276827, next_bitrate = 577751.0
2022-05-02 18:03:25,651 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 848236.655812, next_bitrate = 577751.0
2022-05-02 18:03:29,166 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 830985.490532, next_bitrate = 577751.0
2022-05-02 18:03:32,700 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 819063.664437, next_bitrate = 577751.0
2022-05-02 18:03:35,658 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 807564.560737, next_bitrate = 577751.0
2022-05-02 18:03:38,091 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 850161.420868, next_bitrate = 577751.0
2022-05-02 18:03:45,346 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 833207.782598, next_bitrate = 577751.0
2022-05-02 18:03:47,461 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 821817.270422, next_bitrate = 577751.0
2022-05-02 18:03:49,742 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 861080.927458, next_bitrate = 577751.0
2022-05-02 18:03:56,451 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 841290.68313, next_bitrate = 577751.0
2022-05-02 18:03:58,943 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 825792.338429, next_bitrate = 577751.0
2022-05-02 18:04:00,745 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 851549.943626, next_bitrate = 577751.0
2022-05-02 18:04:08,074 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 835790.328068, next_bitrate = 577751.0
2022-05-02 18:04:10,419 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 892713.050542, next_bitrate = 577751.0
2022-05-02 18:04:17,898 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 867397.791303, next_bitrate = 577751.0
2022-05-02 18:04:19,986 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 846419.042681, next_bitrate = 577751.0
2022-05-02 18:04:22,234 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 907128.295361, next_bitrate = 577751.0
2022-05-02 18:04:28,563 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 879196.266865, next_bitrate = 577751.0
2022-05-02 18:04:31,436 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 855901.744196, next_bitrate = 577751.0
2022-05-02 18:04:33,808 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 863700.518989, next_bitrate = 577751.0
2022-05-02 18:04:41,179 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 844845.284779, next_bitrate = 577751.0
2022-05-02 18:04:44,580 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 829860.562017, next_bitrate = 577751.0
2022-05-02 18:04:47,983 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 813845.911013, next_bitrate = 577751.0
2022-05-02 18:04:49,871 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 817326.03619, next_bitrate = 577751.0
2022-05-02 18:04:56,671 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 807702.728136, next_bitrate = 577751.0
2022-05-02 18:04:59,532 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 797232.050181, next_bitrate = 577751.0
2022-05-02 18:05:01,701 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 835504.347344, next_bitrate = 577751.0
2022-05-02 18:05:08,440 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 822116.888054, next_bitrate = 577751.0
2022-05-02 18:05:11,475 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 811665.683501, next_bitrate = 577751.0
2022-05-02 18:05:13,944 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 862296.579724, next_bitrate = 577751.0
2022-05-02 18:05:20,962 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 844980.740028, next_bitrate = 577751.0
2022-05-02 18:05:24,292 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 826389.664235, next_bitrate = 577751.0
2022-05-02 18:05:26,328 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 873663.964146, next_bitrate = 577751.0
2022-05-02 18:05:33,128 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 852157.443092, next_bitrate = 577751.0
2022-05-02 18:05:36,216 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 833689.720999, next_bitrate = 577751.0
2022-05-02 18:05:38,433 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 896419.126865, next_bitrate = 577751.0
